category,subcategory,skill_name,level,base_score,description,evidence_examples,developer_type
기본 문법 및 제어 구조,조건문 및 반복문,리스트 컴프리헨션,Basic,6,단순 변환만 `[x*2 for x in lst]`,단순 변환만 `[x*2 for x in lst]`,All
기본 문법 및 제어 구조,조건문 및 반복문,리스트 컴프리헨션,Intermediate,25,조건 필터 + 중첩 컴프리헨션,조건 필터 + 중첩 컴프리헨션,All
기본 문법 및 제어 구조,조건문 및 반복문,리스트 컴프리헨션,Advanced,64,walrus 연산자 + 복잡한 다중 조건,walrus 연산자 + 복잡한 다중 조건,All
기본 문법 및 제어 구조,조건문 및 반복문,딕셔너리 컴프리헨션,Basic,6,기본 변환만,기본 변환만,All
기본 문법 및 제어 구조,조건문 및 반복문,딕셔너리 컴프리헨션,Intermediate,25,조건부 딕셔너리 생성,조건부 딕셔너리 생성,All
기본 문법 및 제어 구조,조건문 및 반복문,딕셔너리 컴프리헨션,Advanced,60,defaultdict와 결합 + 동적 키 생성,defaultdict와 결합 + 동적 키 생성,All
기본 문법 및 제어 구조,조건문 및 반복문,제너레이터 표현식,Intermediate,30,기본 제너레이터 표현식 사용,기본 제너레이터 표현식 사용,All
기본 문법 및 제어 구조,조건문 및 반복문,제너레이터 표현식,Advanced,72,제너레이터 파이프라인 + 메모리 최적화,제너레이터 파이프라인 + 메모리 최적화,All
기본 문법 및 제어 구조,함수 및 람다,함수 정의,Basic,4,기본 함수 정의만,기본 함수 정의만,All
기본 문법 및 제어 구조,함수 및 람다,함수 정의,Intermediate,20,타입 힌트 + docstring,타입 힌트 + docstring,All
기본 문법 및 제어 구조,함수 및 람다,함수 정의,Advanced,60,오버로드 + ParamSpec 활용,오버로드 + ParamSpec 활용,All
기본 문법 및 제어 구조,함수 및 람다,람다 함수,Basic,6,단순 람다만 `lambda x: x*2`,단순 람다만 `lambda x: x*2`,All
기본 문법 및 제어 구조,함수 및 람다,람다 함수,Intermediate,25,sorted/filter 키 함수로 활용,sorted/filter 키 함수로 활용,All
기본 문법 및 제어 구조,함수 및 람다,람다 함수,Advanced,64,클로저와 결합 + functools 조합,클로저와 결합 + functools 조합,All
기본 문법 및 제어 구조,함수 및 람다,"args, **kwargs",Intermediate,25,기본 가변 인자 사용,기본 가변 인자 사용,All
기본 문법 및 제어 구조,함수 및 람다,"args, **kwargs",Advanced,68,동적 함수 생성 + 데코레이터에서 활용,동적 함수 생성 + 데코레이터에서 활용,All
기본 문법 및 제어 구조,함수 및 람다,고차 함수,Intermediate,30,"map, filter, reduce 활용","map, filter, reduce 활용",All
기본 문법 및 제어 구조,함수 및 람다,고차 함수,Advanced,72,커스텀 고차 함수 구현 + 함수 합성,커스텀 고차 함수 구현 + 함수 합성,All
기본 문법 및 제어 구조,데코레이터 및 컨텍스트 매니저,데코레이터 사용,Basic,8,"`@staticmethod`, `@property` 사용","`@staticmethod`, `@property` 사용",All
기본 문법 및 제어 구조,데코레이터 및 컨텍스트 매니저,데코레이터 사용,Intermediate,30,커스텀 데코레이터 1-2개 작성,커스텀 데코레이터 1-2개 작성,All
기본 문법 및 제어 구조,데코레이터 및 컨텍스트 매니저,데코레이터 사용,Advanced,80,파라미터화 데코레이터 + 클래스 데코레이터,파라미터화 데코레이터 + 클래스 데코레이터,All
기본 문법 및 제어 구조,데코레이터 및 컨텍스트 매니저,컨텍스트 매니저,Basic,6,`with open()` 기본 사용,`with open()` 기본 사용,All
기본 문법 및 제어 구조,데코레이터 및 컨텍스트 매니저,컨텍스트 매니저,Intermediate,25,contextlib.contextmanager 활용,contextlib.contextmanager 활용,All
기본 문법 및 제어 구조,데코레이터 및 컨텍스트 매니저,컨텍스트 매니저,Advanced,72,`__enter__/__exit__` 커스텀 구현 + 비동기 컨텍스트,`__enter__/__exit__` 커스텀 구현 + 비동기 컨텍스트,All
객체지향 프로그래밍 (OOP),클래스 기초,클래스 정의,Basic,8,기본 클래스 정의만,기본 클래스 정의만,All
객체지향 프로그래밍 (OOP),클래스 기초,클래스 정의,Intermediate,25,`__init__` + 여러 메서드 구현,`__init__` + 여러 메서드 구현,All
객체지향 프로그래밍 (OOP),클래스 기초,클래스 정의,Advanced,64,`__slots__` + 메모리 최적화,`__slots__` + 메모리 최적화,All
객체지향 프로그래밍 (OOP),클래스 기초,인스턴스 vs 클래스 변수,Basic,6,변수 선언만,변수 선언만,All
객체지향 프로그래밍 (OOP),클래스 기초,인스턴스 vs 클래스 변수,Intermediate,28,적절한 변수 분리 + `@classmethod`,적절한 변수 분리 + `@classmethod`,All
객체지향 프로그래밍 (OOP),클래스 기초,인스턴스 vs 클래스 변수,Advanced,68,디스크립터 + `__set_name__` 활용,디스크립터 + `__set_name__` 활용,All
객체지향 프로그래밍 (OOP),클래스 기초,메서드 구현,Basic,6,단순 메서드 1-2개,단순 메서드 1-2개,All
객체지향 프로그래밍 (OOP),클래스 기초,메서드 구현,Intermediate,25,public/private 구분 + 메서드 체이닝,public/private 구분 + 메서드 체이닝,All
객체지향 프로그래밍 (OOP),클래스 기초,메서드 구현,Advanced,64,"`@staticmethod`, `@classmethod` 적재적소 활용","`@staticmethod`, `@classmethod` 적재적소 활용",All
객체지향 프로그래밍 (OOP),상속 및 다형성,상속,Basic,9,단순 상속만 `class Child(Parent):`,단순 상속만 `class Child(Parent):`,All
객체지향 프로그래밍 (OOP),상속 및 다형성,상속,Intermediate,32,`super()` 활용 + 메서드 오버라이딩,`super()` 활용 + 메서드 오버라이딩,All
객체지향 프로그래밍 (OOP),상속 및 다형성,상속,Advanced,76,MRO 이해 + 다중 상속 설계,MRO 이해 + 다중 상속 설계,All
객체지향 프로그래밍 (OOP),상속 및 다형성,추상 클래스,Intermediate,35,ABC + `@abstractmethod` 2-3개,ABC + `@abstractmethod` 2-3개,All
객체지향 프로그래밍 (OOP),상속 및 다형성,추상 클래스,Advanced,80,추상 프로퍼티 + 템플릿 메서드 패턴,추상 프로퍼티 + 템플릿 메서드 패턴,All
객체지향 프로그래밍 (OOP),상속 및 다형성,프로토콜 (Protocol),Advanced,72,typing.Protocol 정의 + 구조적 서브타이핑,typing.Protocol 정의 + 구조적 서브타이핑,All
객체지향 프로그래밍 (OOP),고급 OOP,매직 메서드,Basic,8,"`__str__`, `__repr__` 1-2개만","`__str__`, `__repr__` 1-2개만",All
객체지향 프로그래밍 (OOP),고급 OOP,매직 메서드,Intermediate,35,"`__eq__`, `__hash__`, `__lt__` 구현","`__eq__`, `__hash__`, `__lt__` 구현",All
객체지향 프로그래밍 (OOP),고급 OOP,매직 메서드,Advanced,80,"`__getattr__`, `__setattr__`, `__call__` 활용","`__getattr__`, `__setattr__`, `__call__` 활용",All
객체지향 프로그래밍 (OOP),고급 OOP,프로퍼티 (@property),Basic,9,단순 getter만,단순 getter만,All
객체지향 프로그래밍 (OOP),고급 OOP,프로퍼티 (@property),Intermediate,30,getter + setter + validation,getter + setter + validation,All
객체지향 프로그래밍 (OOP),고급 OOP,프로퍼티 (@property),Advanced,72,디스크립터 클래스 구현,디스크립터 클래스 구현,All
객체지향 프로그래밍 (OOP),고급 OOP,메타클래스,Advanced,80,`type()` 상속 + `__new__` 커스터마이징,`type()` 상속 + `__new__` 커스터마이징,All
객체지향 프로그래밍 (OOP),고급 OOP,데이터클래스,Basic,10,`@dataclass` 기본 사용,`@dataclass` 기본 사용,All
객체지향 프로그래밍 (OOP),고급 OOP,데이터클래스,Intermediate,32,field() + post_init,field() + post_init,All
객체지향 프로그래밍 (OOP),고급 OOP,데이터클래스,Advanced,76,frozen=True + slots=True + 커스텀 __eq__,frozen=True + slots=True + 커스텀 __eq__,All
함수형 프로그래밍 및 고급 기능,함수형 도구,"map, filter, reduce",Basic,8,기본 사용만,기본 사용만,All
함수형 프로그래밍 및 고급 기능,함수형 도구,"map, filter, reduce",Intermediate,28,체이닝 + lambda 조합,체이닝 + lambda 조합,All
함수형 프로그래밍 및 고급 기능,함수형 도구,"map, filter, reduce",Advanced,68,operator 모듈 활용 + 복잡한 파이프라인,operator 모듈 활용 + 복잡한 파이프라인,All
함수형 프로그래밍 및 고급 기능,함수형 도구,functools 모듈,Intermediate,30,"`@lru_cache`, `partial` 사용","`@lru_cache`, `partial` 사용",All
함수형 프로그래밍 및 고급 기능,함수형 도구,functools 모듈,Advanced,76,"`@singledispatch`, `reduce`, `wraps` 조합","`@singledispatch`, `reduce`, `wraps` 조합",All
함수형 프로그래밍 및 고급 기능,함수형 도구,itertools 모듈,Intermediate,32,"`chain`, `zip_longest` 등 3개 이상","`chain`, `zip_longest` 등 3개 이상",All
함수형 프로그래밍 및 고급 기능,함수형 도구,itertools 모듈,Advanced,80,"`groupby`, `accumulate` + 제너레이터 최적화","`groupby`, `accumulate` + 제너레이터 최적화",All
함수형 프로그래밍 및 고급 기능,제너레이터 및 이터레이터,제너레이터 함수 (yield),Basic,9,단순 yield만,단순 yield만,All
함수형 프로그래밍 및 고급 기능,제너레이터 및 이터레이터,제너레이터 함수 (yield),Intermediate,35,yield from + 상태 유지,yield from + 상태 유지,All
함수형 프로그래밍 및 고급 기능,제너레이터 및 이터레이터,제너레이터 함수 (yield),Advanced,80,"양방향 통신 (send, throw)","양방향 통신 (send, throw)",All
함수형 프로그래밍 및 고급 기능,제너레이터 및 이터레이터,이터레이터 구현,Intermediate,38,"`__iter__`, `__next__` 구현","`__iter__`, `__next__` 구현",All
함수형 프로그래밍 및 고급 기능,제너레이터 및 이터레이터,이터레이터 구현,Advanced,80,커스텀 이터레이터 + StopIteration 처리,커스텀 이터레이터 + StopIteration 처리,All
함수형 프로그래밍 및 고급 기능,제너레이터 및 이터레이터,비동기 제너레이터,Advanced,76,`async def` + `async for` + `yield`,`async def` + `async for` + `yield`,All
자료구조 및 알고리즘,내장 자료구조,리스트/튜플/세트,Basic,4,기본 생성 및 접근만,기본 생성 및 접근만,All
자료구조 및 알고리즘,내장 자료구조,리스트/튜플/세트,Intermediate,20,슬라이싱 + 언패킹 + 복사,슬라이싱 + 언패킹 + 복사,All
자료구조 및 알고리즘,내장 자료구조,리스트/튜플/세트,Advanced,60,메모리 효율 고려 + generator 변환,메모리 효율 고려 + generator 변환,All
자료구조 및 알고리즘,내장 자료구조,딕셔너리,Basic,4,기본 CRUD만,기본 CRUD만,All
자료구조 및 알고리즘,내장 자료구조,딕셔너리,Intermediate,22,get() + setdefault() + 딕셔너리 병합,get() + setdefault() + 딕셔너리 병합,All
자료구조 및 알고리즘,내장 자료구조,딕셔너리,Advanced,64,ChainMap + 커스텀 __missing__,ChainMap + 커스텀 __missing__,All
자료구조 및 알고리즘,내장 자료구조,collections 모듈,Intermediate,30,"deque, Counter, defaultdict 2개 이상","deque, Counter, defaultdict 2개 이상",All
자료구조 및 알고리즘,내장 자료구조,collections 모듈,Advanced,72,OrderedDict + namedtuple + 커스텀 컬렉션,OrderedDict + namedtuple + 커스텀 컬렉션,All
자료구조 및 알고리즘,알고리즘 구현,정렬 알고리즘,Basic,6,`sorted()` 기본 사용,`sorted()` 기본 사용,All
자료구조 및 알고리즘,알고리즘 구현,정렬 알고리즘,Intermediate,28,key 함수 + reverse + 커스텀 비교,key 함수 + reverse + 커스텀 비교,All
자료구조 및 알고리즘,알고리즘 구현,정렬 알고리즘,Advanced,72,퀵소트/머지소트 직접 구현 + 안정성 고려,퀵소트/머지소트 직접 구현 + 안정성 고려,All
자료구조 및 알고리즘,알고리즘 구현,검색 알고리즘,Basic,4,in 연산자만,in 연산자만,All
자료구조 및 알고리즘,알고리즘 구현,검색 알고리즘,Intermediate,25,선형 검색 구현,선형 검색 구현,All
자료구조 및 알고리즘,알고리즘 구현,검색 알고리즘,Advanced,68,이진 탐색 구현 + bisect 모듈 활용,이진 탐색 구현 + bisect 모듈 활용,All
자료구조 및 알고리즘,알고리즘 구현,재귀,Intermediate,30,기본 재귀 2-3개 구현,기본 재귀 2-3개 구현,All
자료구조 및 알고리즘,알고리즘 구현,재귀,Advanced,76,꼬리 재귀 최적화 + 메모이제이션,꼬리 재귀 최적화 + 메모이제이션,All
자료구조 및 알고리즘,알고리즘 구현,동적 프로그래밍,Advanced,80,DP 테이블 구현 + 최적 부분 구조,DP 테이블 구현 + 최적 부분 구조,All
자료구조 및 알고리즘,알고리즘 구현,그래프 알고리즘,Advanced,80,DFS/BFS 구현 + 최단 경로 알고리즘,DFS/BFS 구현 + 최단 경로 알고리즘,All
자료구조 및 알고리즘,복잡도 분석,시간 복잡도,Intermediate,25,Big-O 주석 + 명확한 루프 구조,Big-O 주석 + 명확한 루프 구조,All
자료구조 및 알고리즘,복잡도 분석,시간 복잡도,Advanced,72,복잡도 최적화 증거 + 벤치마킹,복잡도 최적화 증거 + 벤치마킹,All
자료구조 및 알고리즘,복잡도 분석,공간 복잡도,Intermediate,28,메모리 사용량 고려 주석,메모리 사용량 고려 주석,All
자료구조 및 알고리즘,복잡도 분석,공간 복잡도,Advanced,76,제너레이터로 공간 최적화 + 인플레이스 알고리즘,제너레이터로 공간 최적화 + 인플레이스 알고리즘,All
파일 및 예외 처리,파일 I/O,텍스트 파일,Basic,6,`open()` + read/write만,`open()` + read/write만,All
파일 및 예외 처리,파일 I/O,텍스트 파일,Intermediate,25,encoding 지정 + with 문,encoding 지정 + with 문,All
파일 및 예외 처리,파일 I/O,텍스트 파일,Advanced,68,대용량 스트리밍 + mmap 활용,대용량 스트리밍 + mmap 활용,All
파일 및 예외 처리,파일 I/O,JSON 처리,Basic,8,`json.load/dump` 기본만,`json.load/dump` 기본만,All
파일 및 예외 처리,파일 I/O,JSON 처리,Intermediate,28,커스텀 encoder + 에러 처리,커스텀 encoder + 에러 처리,All
파일 및 예외 처리,파일 I/O,JSON 처리,Advanced,72,ijson 스트리밍 + 스키마 검증,ijson 스트리밍 + 스키마 검증,All
파일 및 예외 처리,파일 I/O,CSV 처리,Basic,8,csv.reader 기본만,csv.reader 기본만,All
파일 및 예외 처리,파일 I/O,CSV 처리,Intermediate,25,DictReader + 타입 변환,DictReader + 타입 변환,All
파일 및 예외 처리,파일 I/O,CSV 처리,Advanced,64,pandas 대용량 처리 + chunksize,pandas 대용량 처리 + chunksize,All
파일 및 예외 처리,파일 I/O,바이너리 파일,Intermediate,30,`rb/wb` 모드 + struct 활용,`rb/wb` 모드 + struct 활용,All
파일 및 예외 처리,파일 I/O,바이너리 파일,Advanced,76,pickle 프로토콜 선택 + 보안 고려,pickle 프로토콜 선택 + 보안 고려,All
파일 및 예외 처리,예외 처리,try-except,Basic,6,기본 예외 처리만,기본 예외 처리만,All
파일 및 예외 처리,예외 처리,try-except,Intermediate,25,특정 예외 타입 + else/finally,특정 예외 타입 + else/finally,All
파일 및 예외 처리,예외 처리,try-except,Advanced,72,예외 체이닝 + raise from + 컨텍스트 보존,예외 체이닝 + raise from + 컨텍스트 보존,All
파일 및 예외 처리,예외 처리,커스텀 예외,Intermediate,32,커스텀 예외 클래스 2개 이상,커스텀 예외 클래스 2개 이상,All
파일 및 예외 처리,예외 처리,커스텀 예외,Advanced,80,예외 계층 구조 + __cause__ 활용,예외 계층 구조 + __cause__ 활용,All
파일 및 예외 처리,예외 처리,예외 로깅,Intermediate,28,logging + 예외 정보 기록,logging + 예외 정보 기록,All
파일 및 예외 처리,예외 처리,예외 로깅,Advanced,68,traceback 모듈 + 구조화된 로깅,traceback 모듈 + 구조화된 로깅,All
웹 프레임워크 - Django,Django 기초,프로젝트 구조,Basic,8,startproject 기본 구조만,startproject 기본 구조만,"Backend,Fullstack"
웹 프레임워크 - Django,Django 기초,프로젝트 구조,Intermediate,30,앱 분리 + settings 환경별 분리,앱 분리 + settings 환경별 분리,"Backend,Fullstack"
웹 프레임워크 - Django,Django 기초,프로젝트 구조,Advanced,76,커스텀 앱 구조 + 플러그인 아키텍처,커스텀 앱 구조 + 플러그인 아키텍처,"Backend,Fullstack"
웹 프레임워크 - Django,Django 기초,URL 라우팅,Basic,6,기본 path() 사용,기본 path() 사용,"Backend,Fullstack"
웹 프레임워크 - Django,Django 기초,URL 라우팅,Intermediate,25,정규표현식 + 네임스페이스,정규표현식 + 네임스페이스,"Backend,Fullstack"
웹 프레임워크 - Django,Django 기초,URL 라우팅,Advanced,68,동적 라우팅 + URL 리버스 자동화,동적 라우팅 + URL 리버스 자동화,"Backend,Fullstack"
웹 프레임워크 - Django,Django 기초,뷰 (Views),Basic,8,함수 기반 뷰 1-2개,함수 기반 뷰 1-2개,"Backend,Fullstack"
웹 프레임워크 - Django,Django 기초,뷰 (Views),Intermediate,32,CBV 혼합 + 믹스인 사용,CBV 혼합 + 믹스인 사용,"Backend,Fullstack"
웹 프레임워크 - Django,Django 기초,뷰 (Views),Advanced,80,커스텀 믹스인 + 제네릭 뷰 확장,커스텀 믹스인 + 제네릭 뷰 확장,"Backend,Fullstack"
웹 프레임워크 - Django,Django ORM,모델 정의,Basic,9,기본 필드 3-5개만,기본 필드 3-5개만,"Backend,Fullstack"
웹 프레임워크 - Django,Django ORM,모델 정의,Intermediate,32,"ForeignKey, ManyToMany + Meta 옵션","ForeignKey, ManyToMany + Meta 옵션","Backend,Fullstack"
웹 프레임워크 - Django,Django ORM,모델 정의,Advanced,80,추상 모델 + 커스텀 매니저 + 인덱스 최적화,추상 모델 + 커스텀 매니저 + 인덱스 최적화,"Backend,Fullstack"
웹 프레임워크 - Django,Django ORM,쿼리 작성,Basic,8,"`.get()`, `.filter()` 기본만","`.get()`, `.filter()` 기본만","Backend,Fullstack"
웹 프레임워크 - Django,Django ORM,쿼리 작성,Intermediate,35,Q 객체 + annotate/aggregate,Q 객체 + annotate/aggregate,"Backend,Fullstack"
웹 프레임워크 - Django,Django ORM,쿼리 작성,Advanced,80,"Subquery, Exists, Prefetch 고급 활용","Subquery, Exists, Prefetch 고급 활용","Backend,Fullstack"
웹 프레임워크 - Django,Django ORM,쿼리 최적화,Intermediate,38,"`select_related`, `prefetch_related`","`select_related`, `prefetch_related`","Backend,Fullstack"
웹 프레임워크 - Django,Django ORM,쿼리 최적화,Advanced,80,"`only()`, `defer()` + 쿼리 프로파일링","`only()`, `defer()` + 쿼리 프로파일링","Backend,Fullstack"
웹 프레임워크 - Django,Django 고급,Django Admin,Basic,8,기본 admin.site.register,기본 admin.site.register,"Backend,Fullstack"
웹 프레임워크 - Django,Django 고급,Django Admin,Intermediate,30,list_display + search_fields,list_display + search_fields,"Backend,Fullstack"
웹 프레임워크 - Django,Django 고급,Django Admin,Advanced,76,커스텀 액션 + 인라인 + 권한 제어,커스텀 액션 + 인라인 + 권한 제어,"Backend,Fullstack"
웹 프레임워크 - Django,Django 고급,Form/ModelForm,Basic,9,ModelForm 기본 사용,ModelForm 기본 사용,"Backend,Fullstack"
웹 프레임워크 - Django,Django 고급,Form/ModelForm,Intermediate,32,커스텀 clean() + 위젯 커스터마이징,커스텀 clean() + 위젯 커스터마이징,"Backend,Fullstack"
웹 프레임워크 - Django,Django 고급,Form/ModelForm,Advanced,80,Formset + 동적 폼 생성,Formset + 동적 폼 생성,"Backend,Fullstack"
웹 프레임워크 - Django,Django 고급,미들웨어,Intermediate,35,기존 미들웨어 활성화,기존 미들웨어 활성화,"Backend,Fullstack"
웹 프레임워크 - Django,Django 고급,미들웨어,Advanced,80,커스텀 미들웨어 구현 + 성능 최적화,커스텀 미들웨어 구현 + 성능 최적화,"Backend,Fullstack"
웹 프레임워크 - Django,Django 고급,시그널 (Signals),Intermediate,32,"pre_save, post_save 활용","pre_save, post_save 활용","Backend,Fullstack"
웹 프레임워크 - Django,Django 고급,시그널 (Signals),Advanced,76,커스텀 시그널 정의 + 디커플링 패턴,커스텀 시그널 정의 + 디커플링 패턴,"Backend,Fullstack"
웹 프레임워크 - Django,Django REST Framework,Serializer,Basic,10,ModelSerializer 기본,ModelSerializer 기본,"Backend,Fullstack"
웹 프레임워크 - Django,Django REST Framework,Serializer,Intermediate,38,SerializerMethodField + validation,SerializerMethodField + validation,"Backend,Fullstack"
웹 프레임워크 - Django,Django REST Framework,Serializer,Advanced,80,중첩 Serializer + write() 커스터마이징,중첩 Serializer + write() 커스터마이징,"Backend,Fullstack"
웹 프레임워크 - Django,Django REST Framework,ViewSet,Basic,9,ModelViewSet 기본,ModelViewSet 기본,"Backend,Fullstack"
웹 프레임워크 - Django,Django REST Framework,ViewSet,Intermediate,35,커스텀 액션 + 권한 클래스,커스텀 액션 + 권한 클래스,"Backend,Fullstack"
웹 프레임워크 - Django,Django REST Framework,ViewSet,Advanced,80,GenericViewSet + 믹스인 조합,GenericViewSet + 믹스인 조합,"Backend,Fullstack"
웹 프레임워크 - Django,Django REST Framework,인증/권한,Basic,8,TokenAuthentication 기본,TokenAuthentication 기본,"Backend,Fullstack"
웹 프레임워크 - Django,Django REST Framework,인증/권한,Intermediate,32,JWT + 커스텀 권한 클래스,JWT + 커스텀 권한 클래스,"Backend,Fullstack"
웹 프레임워크 - Django,Django REST Framework,인증/권한,Advanced,80,OAuth2 + 세밀한 권한 제어,OAuth2 + 세밀한 권한 제어,"Backend,Fullstack"
웹 프레임워크 - Django,Django REST Framework,필터링/페이지네이션,Intermediate,30,django-filter + PageNumberPagination,django-filter + PageNumberPagination,"Backend,Fullstack"
웹 프레임워크 - Django,Django REST Framework,필터링/페이지네이션,Advanced,76,커스텀 필터 + 동적 페이지네이션,커스텀 필터 + 동적 페이지네이션,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 기초,라우팅,Basic,8,@app.get() 기본만,@app.get() 기본만,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 기초,라우팅,Intermediate,30,APIRouter + 태그/의존성 주입,APIRouter + 태그/의존성 주입,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 기초,라우팅,Advanced,76,동적 라우트 + 라우터 조합 패턴,동적 라우트 + 라우터 조합 패턴,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 기초,Pydantic 모델,Basic,9,BaseModel 기본 필드,BaseModel 기본 필드,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 기초,Pydantic 모델,Intermediate,32,Field() + validator 2-3개,Field() + validator 2-3개,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 기초,Pydantic 모델,Advanced,80,Generic 모델 + 동적 모델 생성,Generic 모델 + 동적 모델 생성,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 기초,요청/응답,Basic,8,Path/Query 파라미터 기본,Path/Query 파라미터 기본,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 기초,요청/응답,Intermediate,28,Request Body + Response 모델,Request Body + Response 모델,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 기초,요청/응답,Advanced,72,스트리밍 응답 + 파일 업로드 처리,스트리밍 응답 + 파일 업로드 처리,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 고급,Dependency Injection,Basic,9,Depends() 기본 사용,Depends() 기본 사용,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 고급,Dependency Injection,Intermediate,35,계층적 의존성 + 캐싱,계층적 의존성 + 캐싱,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 고급,Dependency Injection,Advanced,80,제너레이터 의존성 + 컨텍스트 관리,제너레이터 의존성 + 컨텍스트 관리,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 고급,비동기 처리,Basic,8,async def 기본만,async def 기본만,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 고급,비동기 처리,Intermediate,32,asyncio.gather + 비동기 DB,asyncio.gather + 비동기 DB,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 고급,비동기 처리,Advanced,80,백그라운드 작업 + WebSocket,백그라운드 작업 + WebSocket,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 고급,미들웨어,Intermediate,30,CORS + 기본 미들웨어,CORS + 기본 미들웨어,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 고급,미들웨어,Advanced,76,커스텀 미들웨어 + 요청/응답 인터셉터,커스텀 미들웨어 + 요청/응답 인터셉터,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 고급,인증/보안,Basic,8,HTTPBasic 기본,HTTPBasic 기본,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 고급,인증/보안,Intermediate,35,OAuth2PasswordBearer + JWT,OAuth2PasswordBearer + JWT,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 고급,인증/보안,Advanced,80,커스텀 보안 스킴 + API 키 관리,커스텀 보안 스킴 + API 키 관리,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 최적화,성능 최적화,Intermediate,32,response_model + 캐싱,response_model + 캐싱,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 최적화,성능 최적화,Advanced,80,응답 압축 + 커넥션 풀링,응답 압축 + 커넥션 풀링,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 최적화,OpenAPI 커스터마이징,Basic,8,자동 문서 사용만,자동 문서 사용만,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 최적화,OpenAPI 커스터마이징,Intermediate,30,tags + 설명 추가,tags + 설명 추가,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 최적화,OpenAPI 커스터마이징,Advanced,76,스키마 확장 + 커스텀 UI,스키마 확장 + 커스텀 UI,"Backend,Fullstack"
웹 프레임워크 - FastAPI,FastAPI 최적화,테스팅,Intermediate,28,TestClient 기본 테스트,TestClient 기본 테스트,"Backend,Fullstack"
